LOCATION,INDICATOR,GEN,Year,Value
NLD,SELFEMP,WOMEN,2019,13.17269
NLD,SELFEMP,WOMEN,2020,13.74237
NLD,SELFEMP,WOMEN,2021,11.62468
NZL,SELFEMP,WOMEN,2018,14.59854
NZL,SELFEMP,WOMEN,2019,14.55118
NZL,SELFEMP,WOMEN,2020,15.94934
NZL,SELFEMP,WOMEN,2021,16.36488
POL,SELFEMP,WOMEN,2018,16.05322
POL,SELFEMP,WOMEN,2019,15.7004
POL,SELFEMP,WOMEN,2020,15.86918
POL,SELFEMP,WOMEN,2021,14.75231
PRT,SELFEMP,WOMEN,2018,12.43436
PRT,SELFEMP,WOMEN,2019,12.85237
PRT,SELFEMP,WOMEN,2021,11.91974
ESP,SELFEMP,WOMEN,2018,11.81933
ESP,SELFEMP,WOMEN,2019,11.7256
ESP,SELFEMP,WOMEN,2020,12.12163
ESP,SELFEMP,WOMEN,2021,11.78133
SWE,SELFEMP,WOMEN,2018,5.602206
SWE,SELFEMP,WOMEN,2019,5.674384
SWE,SELFEMP,WOMEN,2020,5.696196
SWE,SELFEMP,WOMEN,2021,6.150406
CHE,SELFEMP,WOMEN,2018,12.61317
CHE,SELFEMP,WOMEN,2019,12.4757
CHE,SELFEMP,WOMEN,2020,12.21326
CHE,SELFEMP,WOMEN,2021,13.11148
TUR,SELFEMP,WOMEN,2018,34.64876
TUR,SELFEMP,WOMEN,2019,33.3338
TUR,SELFEMP,WOMEN,2020,31.00355
USA,SELFEMP,WOMEN,2018,5.198277
USA,SELFEMP,WOMEN,2019,5.102741
USA,SELFEMP,WOMEN,2020,5.490044
USA,SELFEMP,WOMEN,2021,5.718328
BRA,SELFEMP,WOMEN,2018,26.6268
BRA,SELFEMP,WOMEN,2019,26.88546
BRA,SELFEMP,WOMEN,2020,26.77222
BRA,SELFEMP,WOMEN,2021,27.57355
CHL,SELFEMP,WOMEN,2018,24.62973
CHL,SELFEMP,WOMEN,2019,24.68203
CHL,SELFEMP,WOMEN,2020,22.19068
CHL,SELFEMP,WOMEN,2021,23.8212
COL,SELFEMP,WOMEN,2018,49.57914
